userId,neighborId,similarity
18,2679,0.277
18,2392,0.263
18,13204,0.274
18,1338,0.277
18,12219,0.27
18,1340,0.281
18,6365,0.276
18,3911,0.278
19,15265,0.369
19,4194,0.371
19,2083,0.371
19,3524,0.251
19,5829,0.264
19,13446,0.23
19,15361,0.265
19,2247,0.235
19,3405,0.37
19,8557,0.231
19,8720,0.306
19,4273,0.26
19,5108,0.278
19,1590,0.368
19,12568,0.265
19,7513,0.279
19,5371,0.235
19,3676,0.371
19,11966,0.37
19,15327,0.232
23,11024,0.288
23,8866,0.28
23,4579,0.268
23,3315,0.25
23,12582,0.251
23,2470,0.375
23,10483,0.268
23,6249,0.318
23,4039,0.241
23,14412,0.297
23,1136,0.5
23,7116,0.242
23,9074,0.444
23,4979,0.293
23,2068,0.23
23,10153,0.235
23,2456,0.249
23,12699,0.375
23,7134,0.336
23,14847,0.33
26,8450,0.65
26,1211,0.441
26,12068,0.505
26,293,0.855
26,10343,0.648
26,10824,0.538
26,14732,0.493
26,2874,0.441
26,12972,0.65
26,1518,0.578
26,10216,0.704
26,5298,0.408
26,5942,0.885
26,8745,0.412
26,10712,0.518
26,218,0.743
26,12927,0.5
26,8188,0.5
26,13210,0.45
26,11327,0.743
29,8963,0.338
29,6436,0.589
29,4453,0.144
29,12745,0.071
29,3151,0.306
29,8784,0.381
29,7608,0.369
29,1522,0.069
29,3507,0.097
29,3828,0.68
29,13950,0.097
29,10469,0.05
29,1400,0.206
29,11065,0.177
29,1978,0.353
29,6843,0.528
29,3806,0.68
29,13983,0.889
31,4832,0.194
31,8577,0.579
31,5730,0.194
31,1475,0.256
31,11590,0.398
31,1002,0.375
31,15242,0.328
31,14863,0.377
31,7984,0.582
31,11058,0.372
31,11028,0.252
31,11221,0.217
31,5206,0.65
31,9559,0.289
31,473,0.382
31,14778,0.688
31,15008,0.189
31,11356,0.329
31,8506,0.66
31,254,0.396
32,4700,0.366
32,2080,0.348
32,9963,0.453
32,1805,0.394
32,10309,0.601
32,3049,0.453
32,1451,0.601
32,11948,0.601
32,10765,0.406
32,9359,0.432
32,12380,0.38
32,5844,0.434
32,11413,0.538
32,2998,0.432
32,3896,0.453
32,6939,0.43
32,13116,0.38
32,13931,0.428
32,4382,0.373
32,14079,0.432
33,12544,0.229
33,7457,0.288
33,9304,0.041
33,5540,0.066
33,14118,0.026
33,7846,0.1
33,1793,0.066
33,6120,0.041
33,6827,0.029
33,14404,0.065
33,10477,0.356
33,11535,0.091
33,9520,0.061
33,14872,0.049
33,4210,0.064
33,13747,0.081
33,7316,0.15
33,12216,0.096
33,2996,0.297
33,2107,0.046
35,14176,0.207
35,2402,0.268
35,5699,0.264
35,3300,0.228
35,13285,0.386
35,14156,0.236
35,6761,0.243
35,10643,0.398
35,2670,0.364
35,9437,0.283
35,2321,0.226
35,8275,0.301
35,174,0.339
35,739,0.222
35,2526,0.243
35,15001,0.27
35,12538,0.404
35,14940,0.239
35,2010,0.253
35,5075,0.243
37,6715,0.198
37,10531,0.2
37,6308,0.347
37,4933,0.16
37,3411,0.29
37,14512,0.179
37,330,0.19
37,13935,0.249
37,8080,0.184
37,11378,0.208
37,3283,0.355
37,2484,0.223
37,13241,0.164
37,2640,0.17
37,6772,0.354
37,6735,0.455
37,6363,0.329
37,4348,0.431
37,4170,0.43
37,9935,0.254
51,11478,0.327
51,12801,0.352
51,3588,0.358
51,15030,0.383
51,4295,0.479
51,1015,0.422
51,5484,0.346
51,13074,0.34
51,10030,0.362
51,14265,0.323
51,7602,0.372
51,8640,0.323
51,3630,0.366
51,4726,0.37
51,10519,0.413
51,5777,0.321
51,7158,0.327
51,8284,0.481
51,8574,0.428
51,11141,0.321
52,6176,0.302
52,12704,0.274
52,2594,0.229
52,13739,0.244
52,1989,0.262
52,774,0.252
52,15103,0.243
52,907,0.48
52,10636,0.263
52,13390,0.324
52,12784,0.318
52,13631,0.334
52,309,0.226
52,630,0.299
52,3352,0.38
52,921,0.283
52,2106,0.549
52,13851,0.295
52,1786,0.463
52,1215,0.315
53,9392,0.322
53,1507,0.321
53,1317,0.299
53,13377,0.306
53,6823,0.388
53,2473,0.331
53,12810,0.405
53,9324,0.323
53,7149,0.406
53,6350,0.406
53,12925,0.406
53,112,0.406
53,4252,0.321
53,11764,0.452
53,14613,0.406
53,13881,0.291
53,9562,0.324
53,13532,0.371
53,11325,0.426
53,2271,0.406
54,2001,0.151
54,4195,0.261
54,12836,0.129
54,5125,0.266
54,13447,0.427
54,360,0.144
54,8009,0.174
54,8779,0.172
54,1053,0.13
54,3565,0.167
54,7246,0.194
54,7023,0.182
54,12273,0.153
54,13203,0.145
54,4596,0.145
54,3262,0.179
54,8569,0.276
54,4828,0.15
54,605,0.2
54,12926,0.179
61,12032,0.314
61,13889,0.293
61,5059,0.288
61,8229,0.38
61,9830,0.259
61,3719,0.329
61,41,0.425
61,3018,0.212
61,550,0.215
61,12577,0.236
61,11343,0.34
61,14896,0.382
61,7123,0.531
61,13748,0.238
61,11766,0.217
61,4920,0.247
61,9210,0.274
61,12639,0.286
61,9546,0.21
61,10117,0.287
64,3104,0.508
64,289,0.475
64,14915,0.494
64,11541,0.409
64,101,0.508
64,11430,0.596
64,7655,0.508
64,9449,0.659
64,12138,0.441
64,13963,0.486
64,2575,0.437
64,7408,0.511
64,8309,0.504
64,4103,0.511
64,13625,0.508
64,8347,0.392
64,5372,0.421
64,8778,0.372
64,4222,0.376
64,13269,0.412
69,14143,0.053
69,6011,0.131
69,8100,0.065
69,13477,0.109
69,5350,0.082
69,8903,0.11
69,9515,0.091
69,13015,0.074
69,5711,0.08
69,900,0.062
69,81,0.194
69,9395,0.129
69,5748,0.157
69,12567,0.099
69,13428,0.073
69,569,0.064
69,9243,0.103
69,2332,0.086
69,7422,0.07
69,14661,0.062
76,1154,0.235
76,1564,0.142
76,9413,0.153
76,3334,0.215
76,5383,0.257
76,5980,0.243
76,4009,0.224
76,727,0.15
76,10796,0.345
76,6476,0.164
76,7310,0.135
76,15081,0.142
76,12343,0.233
76,8440,0.303
76,10073,0.339
76,2906,0.313
76,12924,0.546
76,4893,0.177
76,13470,0.159
76,12703,0.189
78,11397,0.569
78,11043,0.563
78,12950,0.688
78,5297,0.623
78,6408,0.882
78,13097,0.567
78,3114,0.648
78,12460,0.563
78,4541,0.58
78,9616,0.618
78,9745,0.628
78,7506,0.66
78,4979,0.67
78,13718,0.654
78,535,0.58
78,8154,0.875
78,10364,0.597
78,5245,0.692
78,1374,0.564
78,1823,0.647
79,12576,0.343
79,14624,0.189
79,9949,0.225
79,4708,0.363
79,8742,0.303
79,3015,0.372
79,13961,0.612
79,3463,0.281
79,6220,0.259
79,2671,0.309
79,9460,0.23
79,13877,0.343
79,1238,0.205
79,13577,0.479
79,13161,0.193
79,14255,0.427
79,11292,0.325
79,13783,0.231
79,5086,0.195
79,14783,0.417
85,8961,0.75
85,14531,0.541
85,7140,0.596
85,4918,0.676
85,14503,0.542
85,13800,0.736
85,10825,0.695
85,5611,0.574
85,12396,0.706
85,15154,0.643
85,2830,0.75
85,15119,0.709
85,14664,0.744
85,11922,0.75
85,8531,0.75
85,13364,0.598
85,14070,0.75
85,5399,0.568
85,15320,0.736
85,1500,0.75
89,10340,0.635
89,9542,0.411
89,11431,0.63
89,10664,0.307
89,1788,0.322
89,330,0.244
89,1675,0.266
89,2092,0.404
89,10351,0.342
89,3952,0.332
89,8632,0.186
89,3988,0.317
89,7414,0.387
89,13720,0.308
89,4532,0.204
89,4826,0.261
89,10075,0.227
89,4700,0.325
89,7676,0.269
89,11423,0.264
92,11904,0.204
92,11713,0.429
92,9026,0.89
92,4932,0.179
92,12038,0.416
92,102,0.529
92,13927,0.259
92,3849,0.342
92,14672,0.151
92,5708,0.517
92,717,0.362
92,9085,0.151
92,10960,0.576
92,6002,0.263
92,9555,0.252
92,9109,0.574
92,14231,0.247
92,12572,0.409
92,4149,0.165
92,2143,0.477
93,13550,0.505
93,2117,0.699
93,12422,0.699
93,925,0.554
93,3912,0.696
93,6284,0.699
93,3242,0.63
93,8812,0.699
93,5454,0.699
93,12477,0.699
93,6257,0.699
93,14674,0.529
93,5620,0.553
93,341,0.699
93,5500,0.505
93,6458,0.506
93,156,0.542
93,12349,0.694
93,9041,0.529
93,13701,0.529
95,7552,0.265
95,772,0.265
95,3917,0.264
95,15241,0.237
95,11498,0.255
95,4172,0.236
95,3693,0.264
95,6158,0.23
95,6765,0.327
95,980,0.224
95,2581,0.263
95,11606,0.265
95,919,0.33
95,8472,0.246
95,13657,0.247
95,7881,0.236
95,5167,0.237
95,13645,0.246
95,4586,0.257
95,13726,0.231
100,10974,0.363
100,12065,0.31
100,13220,0.32
100,10054,0.616
100,12583,0.27
100,11784,0.442
100,10218,0.343
100,7531,0.276
100,10317,0.374
100,11441,0.536
100,10963,0.401
100,14741,0.39
100,2326,0.383
100,10775,0.682
100,6520,0.45
100,1112,0.273
100,7323,0.416
100,2268,0.378
100,2941,0.471
100,3166,0.394
104,9952,0.463
104,11522,0.383
104,4835,0.463
104,13956,0.307
104,10470,0.308
104,5480,0.295
104,522,0.279
104,4555,0.456
104,12756,0.255
104,4959,0.263
104,6992,0.463
104,3160,0.306
104,9906,0.438
104,9624,0.264
104,3096,0.366
104,6873,0.463
104,12410,0.463
104,15327,0.328
104,1436,0.283
104,14335,0.323
105,12417,0.656
105,1635,0.656
105,7126,0.422
105,3910,0.366
105,4392,0.65
105,12460,0.405
105,10350,0.419
105,7837,0.476
105,11632,0.348
105,12177,0.422
105,3043,0.425
105,980,0.349
105,14709,0.408
105,5846,0.656
105,8056,0.564
105,3131,0.499
105,11070,0.364
105,5851,0.437
105,5021,0.424
105,4670,0.419
109,4288,0.33
109,2879,0.313
109,8587,0.324
109,6340,0.302
109,8967,0.369
109,7656,0.364
109,8476,0.301
109,1354,0.339
109,14987,0.323
109,11053,0.308
109,13936,0.51
109,3473,0.303
109,787,0.342
109,725,0.358
109,1014,0.34
109,14488,0.304
109,3513,0.304
109,4667,0.389
109,9756,0.314
109,14527,0.317
110,8641,0.361
110,11875,0.247
110,228,0.182
110,10609,0.299
110,11240,0.36
110,617,0.224
110,10631,0.341
110,11246,0.216
110,5693,0.202
110,1009,0.373
110,6802,0.289
110,3307,0.184
110,1813,0.294
110,14335,0.255
110,4663,0.327
110,5419,0.243
110,8123,0.311
110,13117,0.459
110,126,0.289
110,319,0.312
111,5985,0.272
111,4194,0.272
111,2083,0.272
111,9508,0.272
111,10695,0.272
111,9735,0.271
111,13980,0.271
111,13675,0.3
111,205,0.272
111,3405,0.271
111,12785,0.272
111,8338,0.272
111,15265,0.271
111,2072,0.272
111,1561,0.272
111,4474,0.272
111,9723,0.272
111,3676,0.272
111,5117,0.272
111,10223,0.27
112,13505,0.579
112,13377,0.694
112,1507,0.724
112,1317,0.678
112,11302,0.582
112,6823,0.87
112,13532,0.83
112,12810,0.905
112,9415,0.64
112,7149,0.909
112,6350,0.909
112,7117,0.66
112,10065,0.594
112,8756,0.66
112,14613,0.909
112,13881,0.66
112,7599,0.611
112,4252,0.724
112,12925,0.909
112,2271,0.909
122,9377,0.158
122,6914,0.158
122,11811,0.142
122,13700,0.158
122,10934,0.142
122,4629,0.142
122,8263,0.142
122,9717,0.142
122,6699,0.142
122,10082,0.142
122,8814,0.142
122,11157,0.142
122,6550,0.158
122,10135,0.142
122,2137,0.142
122,9727,0.158
122,3579,0.142
122,5405,0.142
122,738,0.142
122,14303,0.158
126,13217,0.329
126,4354,0.33
126,9579,0.314
126,12036,0.438
126,8423,0.43
126,4936,0.412
126,458,0.314
126,5419,0.344
126,110,0.289
126,14640,0.344
126,14993,0.313
126,6706,0.438
126,4212,0.29
126,3486,0.438
126,10134,0.296
126,1495,0.307
126,12090,0.438
126,13117,0.329
126,3678,0.37
126,13973,0.33
131,1617,0.063
131,11307,0.241
131,10132,0.205
131,1239,0.195
131,11035,0.188
131,12380,0.147
131,995,0.044
131,8671,0.083
132,8576,0.496
132,5249,0.206
132,12642,0.275
132,15264,0.147
132,1510,0.247
132,10109,0.065
132,15261,0.09
132,12764,0.441
132,11520,0.138
132,8431,0.388
132,14066,0.439
132,1619,0.23
132,1236,0.059
132,13845,0.261
132,9304,0.094
132,5793,0.054
132,6651,0.038
132,4412,0.176
132,3965,0.163
132,8053,0.052
136,10112,0.45
136,2240,0.449
136,4322,0.439
136,7727,0.411
136,10852,0.468
136,8485,0.463
136,4070,0.51
136,745,0.471
136,14762,0.524
136,5485,0.541
136,9389,0.523
136,2790,0.42
136,2099,0.424
136,3480,0.499
136,4537,0.42
136,58,0.437
136,8719,0.437
136,6524,0.68
136,1789,0.431
136,869,0.433
140,11392,0.094
140,3971,0.424
140,9733,0.433
140,2772,0.105
140,7817,0.119
140,5974,0.085
140,14091,0.517
140,8091,0.137
140,1165,0.106
140,11933,0.247
140,2823,0.096
140,4291,0.101
140,12884,0.122
140,12053,0.264
140,5469,0.102
140,4591,0.073
140,13241,0.19
140,10586,0.143
140,2811,0.169
140,6781,0.239
144,9686,0.155
145,8624,0.144
145,7393,0.015
146,13728,0.477
146,4545,0.909
146,6882,0.727
146,7235,0.63
146,1272,0.465
146,13960,0.667
146,1835,0.543
146,14762,0.623
146,2411,0.548
146,4972,0.66
146,366,0.9
146,13329,0.557
146,6067,0.757
146,7032,0.623
146,7993,0.512
146,12607,0.483
146,5320,0.513
146,1181,0.797
146,8446,0.545
146,12447,0.685
151,10049,0.233
151,12002,0.234
151,8036,0.394
151,9861,0.215
151,13318,0.268
151,9232,0.266
151,8105,0.22
151,13002,0.267
151,1099,0.213
151,1964,0.222
151,10765,0.229
151,4398,0.254
151,2797,0.22
151,12592,0.287
151,177,0.326
151,6681,0.227
151,11098,0.248
151,4703,0.233
151,7178,0.213
151,12703,0.257
152,5442,0.07
152,10915,0.077
152,14021,0.065
152,13479,0.065
152,8136,0.077
152,9532,0.071
152,12650,0.065
152,2444,0.087
152,9794,0.069
152,11983,0.065
152,7664,0.071
152,14312,0.065
152,4085,0.076
152,12246,0.065
152,7607,0.079
152,4632,0.075
152,14233,0.065
152,12763,0.065
152,10716,0.074
152,8575,0.068
155,7215,0.12
156,13550,0.512
156,93,0.542
156,2117,0.708
156,12422,0.708
156,925,0.562
156,3912,0.705
156,6284,0.708
156,3242,0.638
156,8812,0.708
156,5454,0.708
156,12477,0.708
156,6257,0.708
156,14674,0.536
156,5620,0.56
156,341,0.708
156,6458,0.513
156,5500,0.512
156,12349,0.703
156,9041,0.536
156,13701,0.536
160,4192,0.271
160,14826,0.212
160,133,0.433
160,11910,0.273
160,1095,0.406
160,4296,0.243
160,4714,0.286
160,2919,0.275
160,3599,0.337
160,6705,0.476
160,3124,0.438
160,3317,0.301
160,377,0.298
160,1432,0.257
160,7956,0.303
160,15366,0.209
160,13372,0.217
160,6845,0.271
160,14590,0.303
160,1045,0.464
162,10454,0.145
162,9569,0.246
162,9155,0.225
162,15350,0.168
162,8294,0.171
162,4241,0.208
162,1201,0.19
162,6987,0.159
162,6599,0.18
162,6412,0.146
162,2638,0.277
162,5137,0.2
162,7683,0.149
162,13812,0.171
162,5086,0.187
162,4598,0.193
162,14830,0.156
162,11253,0.25
162,12094,0.286
162,5631,0.197
164,14944,0.342
164,15363,0.381
164,11411,0.298
164,9735,0.731
164,4923,0.312
164,2796,0.372
164,13675,0.414
164,7404,0.437
164,8525,0.452
164,10541,0.533
164,5457,0.357
164,13711,0.371
164,1131,0.367
164,2452,0.412
164,10293,0.296
164,310,0.387
164,7065,0.439
164,13050,0.323
164,815,0.558
164,8043,0.498
165,15297,0.167
165,7966,0.103
165,9092,0.087
165,6597,0.341
165,8518,0.428
165,11329,0.341
165,8136,0.078
165,4846,0.081
165,13068,0.242
165,1261,0.389
165,12334,0.215
165,2701,0.084
165,7056,0.248
165,753,0.359
165,10558,0.134
165,2934,0.159
165,12977,0.306
165,5210,0.133
165,14974,0.161
165,10597,0.119
166,6433,0.145
166,10344,0.046
166,14533,0.152
166,13350,0.334
166,2657,0.072
166,5768,0.199
166,12457,0.227
166,1003,0.047
166,4846,0.089
166,3631,0.058
166,10632,0.221
166,1556,0.054
166,9454,0.062
166,1047,0.05
166,2616,0.04
166,3944,0.097
166,7035,0.102
166,3132,0.277
166,9886,0.057
166,14357,0.042
169,12437,0.32
169,609,0.392
169,11267,0.353
169,4036,0.431
169,9893,0.348
169,6502,0.366
169,9322,0.546
169,4035,0.319
169,9741,0.392
169,15021,0.546
169,4848,0.392
169,11437,0.411
169,306,0.431
169,1662,0.323
169,4478,0.355
169,8054,0.411
169,7834,0.412
169,12106,0.339
169,1054,0.392
169,2239,0.334
173,10627,0.285
173,8869,0.251
173,7176,0.229
173,8553,0.233
173,42,0.25
173,11532,0.372
173,1389,0.373
173,4879,0.253
173,6449,0.253
173,178,0.246
173,2355,0.372
173,3747,0.253
173,11542,0.23
173,11177,0.219
173,14408,0.217
173,345,0.24
173,11311,0.342
173,7772,0.253
173,9597,0.314
173,5982,0.333
179,5792,0.215
179,3840,0.215
179,10323,0.215
179,14987,0.209
179,726,0.185
179,3078,0.182
179,11720,0.215
179,11625,0.221
179,1258,0.215
179,7371,0.215
179,10124,0.185
179,8888,0.215
179,4658,0.179
179,9779,0.225
179,4757,0.215
179,1014,0.214
179,15049,0.179
179,787,0.215
179,5881,0.177
179,8602,0.211
184,13417,0.275
184,14627,0.235
184,4107,0.395
184,5092,0.237
184,9447,0.421
184,8585,0.368
184,13067,0.286
184,2477,0.27
184,1503,0.345
184,7954,0.248
184,7219,0.367
184,5972,0.246
184,1340,0.276
184,3190,0.305
184,2007,0.282
184,3195,0.332
184,11068,0.395
184,10397,0.424
184,10142,0.272
184,13803,0.286
185,13911,0.258
185,3361,0.172
185,2795,0.288
185,3351,0.105
185,1606,0.112
185,13385,0.221
185,9578,0.24
185,5527,0.37
185,7084,0.225
185,2743,0.146
185,10064,0.117
185,7442,0.152
185,6772,0.142
185,1237,0.196
185,1879,0.257
185,11920,0.11
185,13659,0.244
185,412,0.443
185,2845,0.37
185,1271,0.479
186,7876,0.409
186,8645,0.363
186,10855,0.392
186,2760,0.411
186,13897,0.355
186,13290,0.437
186,7980,0.332
186,10028,0.392
186,14354,0.332
186,12982,0.332
186,13778,0.392
186,583,0.322
186,7796,0.504
186,1109,0.322
186,10870,0.392
186,7484,0.322
186,7247,0.322
186,13647,0.33
186,9916,0.392
186,3269,0.322
187,8993,0.237
187,5163,0.285
187,14116,0.239
187,1857,0.157
187,8680,0.176
187,5835,0.149
187,9452,0.32
187,13581,0.111
187,8747,0.147
187,5629,0.143
187,13584,0.134
187,968,0.151
187,5714,0.111
187,4481,0.131
187,14504,0.143
187,503,0.117
187,11992,0.2
187,5627,0.317
187,6588,0.106
187,6589,0.196
189,3811,0.429
189,2948,0.217
189,1509,0.283
189,12999,0.235
189,10611,0.233
189,14636,0.222
189,9650,0.316
189,13135,0.203
189,8496,0.198
189,13042,0.485
189,3971,0.334
189,3413,0.383
189,5827,0.211
189,9273,0.567
189,5400,0.397
189,14201,0.307
189,15171,0.245
189,3638,0.193
189,5980,0.303
189,4127,0.39
190,11681,0.642
190,827,0.07
190,6148,0.088
190,4261,0.088
190,4001,0.202
190,5704,0.051
190,1385,0.18
190,5258,0.208
190,12695,0.086
190,2220,0.242
190,13747,0.069
190,9652,0.155
190,7689,0.101
190,14008,0.185
190,2873,0.188
190,9018,0.142
190,9339,0.137
190,2205,0.32
190,414,0.235
190,11935,0.219
191,15280,0.036
191,4769,0.135
191,83,0.179
191,4100,0.037
191,11445,0.399
191,13098,0.044
191,10331,0.278
191,12723,0.025
191,4430,0.222
191,14014,0.025
197,6532,0.14
197,7014,0.192
197,11526,0.146
197,5479,0.14
197,4712,0.147
197,5078,0.14
197,7564,0.169
197,8207,0.14
197,14417,0.196
197,5778,0.141
197,9939,0.196
197,6740,0.196
197,15124,0.17
197,8311,0.142
197,312,0.196
197,761,0.17
197,14843,0.189
197,9788,0.144
197,6744,0.14
197,11519,0.14
205,4322,0.724
205,12611,0.602
205,7654,0.66
205,10695,0.909
205,7208,0.724
205,2121,0.767
205,12231,0.597
205,2764,0.764
205,11597,0.66
205,13795,0.546
205,12785,0.909
205,4882,0.68
205,1907,0.747
205,628,0.623
205,14966,0.625
205,1561,0.909
205,2072,0.909
205,6329,0.833
205,2850,0.601
205,1903,0.546
208,11332,0.526
208,5282,0.526
208,12420,0.754
208,582,0.54
208,7687,0.74
208,8169,0.548
208,823,0.757
208,4370,0.517
208,1102,0.568
208,8893,0.48
208,4338,0.751
208,14579,0.634
208,2197,0.548
208,3478,0.629
208,1177,0.548
208,15128,0.531
208,2649,0.548
208,15067,0.518
208,1725,0.53
208,12437,0.497
209,7886,0.023
209,10111,0.195
209,5973,0.033
209,4934,0.074
209,14666,0.325
209,171,0.03
209,1934,0.166
209,13328,0.047
209,8754,0.101
209,7188,0.333
209,8181,0.176
209,2230,0.309
209,5179,0.061
209,13500,0.018
209,4042,0.013
209,6239,0.09
217,7811,0.393
217,9252,0.302
217,3657,0.331
217,8191,0.465
217,168,0.189
217,9161,0.325
217,5739,0.273
217,6823,0.217
217,7101,0.14
217,720,0.234
217,8425,0.182
217,5010,0.469
217,5143,0.33
217,11287,0.212
217,13818,0.4
217,1147,0.573
217,10012,0.206
217,10650,0.23
217,2878,0.147
217,2111,0.275
218,8450,0.548
218,1211,0.371
218,12068,0.425
218,293,0.728
218,10343,0.546
218,10824,0.452
218,14732,0.412
218,2874,0.369
218,12972,0.548
218,1518,0.487
218,10216,0.594
218,12927,0.419
218,5942,0.754
218,8745,0.344
218,10712,0.435
218,26,0.743
218,5691,0.45
218,8188,0.419
218,13210,0.378
218,11327,0.629
222,11348,0.266
222,11202,0.549
222,7971,0.395
222,8996,0.537
222,14789,0.466
222,13382,0.599
222,15047,0.355
222,14057,0.409
222,138,0.619
222,11426,0.321
222,3682,0.425
222,14365,0.394
222,788,0.47
222,2918,0.28
222,7565,0.334
222,14916,0.331
222,10116,0.284
222,6140,0.295
222,2077,0.448
222,14814,0.301
223,8961,0.365
223,2818,0.36
223,13800,0.361
223,1126,0.454
223,14503,0.523
223,8531,0.365
223,1898,0.366
223,12396,0.35
223,5486,0.394
223,4765,0.451
223,14664,0.363
223,11922,0.365
223,9299,0.456
223,2830,0.365
223,14070,0.365
223,15320,0.361
223,11737,0.454
223,1647,0.377
223,1500,0.365
223,509,0.366
234,3034,0.278
234,11412,0.363
234,14077,0.283
234,870,0.451
234,6057,0.453
234,7818,0.4
234,4980,0.305
234,6830,0.321
234,12975,0.311
234,4592,0.327
234,5586,0.365
234,14547,0.497
234,10484,0.446
234,14158,0.305
234,3561,0.307
234,2392,0.294
234,13113,0.456
234,4250,0.496
234,796,0.36
234,6570,0.288
240,1115,0.528
240,3749,0.554
240,6055,0.521
240,14120,0.697
240,3529,0.528
240,551,0.416
240,9741,0.504
240,8206,0.554
240,5455,0.457
240,10480,0.504
240,11953,0.504
240,3473,0.416
240,4558,0.435
240,12101,0.388
240,7351,0.504
240,9562,0.504
240,13019,0.519
240,3325,0.69
240,2654,0.494
240,13381,0.456
246,6081,0.215
246,258,0.215
246,9147,0.204
246,804,0.322
246,5797,0.232
246,3238,0.187
246,8233,0.301
246,14058,0.236
246,9945,0.134
246,2111,0.325
246,13650,0.334
246,4211,0.232
246,10164,0.451
246,5465,0.149
246,8394,0.16
246,12676,0.288
246,5311,0.401
246,11132,0.319
246,5514,0.164
246,13253,0.251
247,5025,0.564
247,10530,0.395
247,14731,0.432
247,5829,0.65
247,750,0.464
247,10952,0.398
247,5353,0.513
247,4247,0.433
247,8556,0.65
247,9518,0.484
247,431,0.558
247,10352,0.521
247,10546,0.441
247,3918,0.471
247,3958,0.507
247,9847,0.476
247,3371,0.396
247,8762,0.48
247,3931,0.53
247,7070,0.543
250,7488,0.597
250,928,0.368
250,10379,0.785
250,964,0.411
250,15367,0.443
250,12392,0.182
250,522,0.328
250,5355,0.288
250,15310,0.277
250,8815,0.219
250,12055,0.455
250,3584,0.135
250,10947,0.122
250,11243,0.15
250,5143,0.356
250,14297,0.388
250,9071,0.138
250,3901,0.12
250,4958,0.213
250,14111,0.343
257,13665,0.493
257,12260,0.491
257,14486,0.595
257,8999,0.698
257,680,0.635
257,2153,0.821
257,8295,0.544
257,15020,0.655
257,493,0.821
257,207,0.507
257,11240,0.489
257,1142,0.491
257,5876,0.623
257,6453,0.595
257,14870,0.611
257,361,0.821
257,12431,0.491
257,8701,0.505
257,9854,0.501
257,12981,0.814
258,2979,0.497
258,1988,0.314
258,13253,0.311
258,390,0.432
258,3238,0.231
258,14478,0.332
258,752,0.276
258,5797,0.288
258,13650,0.415
258,10979,0.488
258,2676,0.385
258,14868,0.254
258,6841,0.224
258,2488,0.292
258,12676,0.357
258,4211,0.288
258,9147,0.254
258,11132,0.395
258,5981,0.275
258,5311,0.497
268,14118,0.08
268,13256,0.064
268,6378,0.128
268,4716,0.04
268,11245,0.15
268,7470,0.075
268,13005,0.047
268,5136,0.084
268,3635,0.04
268,7287,0.042
268,11961,0.088
268,12346,0.448
268,3903,0.216
268,5916,0.165
268,14461,0.045
268,10719,0.322
269,6337,0.423
269,13092,0.731
269,7109,0.599
269,12967,0.377
269,4072,0.519
269,745,0.359
269,1511,0.353
269,7790,0.342
269,463,0.482
269,10672,0.355
269,6584,0.409
269,920,0.398
269,4629,0.79
269,7609,0.352
269,9432,0.518
269,13177,0.63
269,11418,0.37
269,4315,0.486
269,7644,0.394
269,14709,0.49
270,2721,0.5
270,2690,0.611
270,6583,0.287
270,7558,0.502
270,9543,0.597
270,4008,0.767
270,12489,0.623
270,5849,0.359
270,9323,0.307
270,1329,0.45
270,206,0.308
270,14320,0.347
270,11025,0.58
270,5000,0.474
